"id","comment","category","enabled","constant","selective","keys","position","depth","insertionOrder","characters","ejs","decorators","getvarPaths","relativePath"
"0","NPC人物生成规则","叙事与生成协议","false","true","false","","before_char","4","100","868","false","","","世界书\NPC人物生成规则.txt"
"1","秘境/遗迹生成","叙事与生成协议","false","true","false","","before_char","4","100","416","false","","","世界书\秘境_遗迹生成.txt"
"2","详细人物:林若悠","人物与NPC","true","false","true","林若悠|玉灵宫圣女|空明幻体","after_char","4","100","345","false","","","世界书\详细人物_林若悠.txt"
"3","详细人物：宫银叶","人物与NPC","true","false","true","残影身法|青云步|冰火双绝体|联网手机|护身灵纱|小混沌手镯|宫银叶","after_char","4","100","855","false","","","世界书\详细人物：宫银叶.txt"
"4","玄天界宗门生成","境界与力量体系","false","true","false","","before_char","4","100","967","false","","","世界书\玄天界宗门生成.txt"
"5","仙界关键人物","人物与NPC","false","true","false","","before_char","4","100","1648","false","","","世界书\仙界关键人物.txt"
"6","详细人物:慕欣心","人物与NPC","true","false","true","垂天钓竿|混元道体|天庭大帝|慕欣心","after_char","4","100","399","false","","","世界书\详细人物_慕欣心.txt"
"7","玄天界城市生成","叙事与生成协议","false","true","false","","before_char","4","100","1831","false","","","世界书\玄天界城市生成.yaml"
"8","功法生成","叙事与生成协议","true","true","false","","before_char","4","100","904","false","","","世界书\功法生成.txt"
"9","机遇","叙事与生成协议","true","true","false","","after_char","2","100","388","false","","","世界书\机遇.txt"
"10","境界","叙事与生成协议","true","true","true","","before_char","4","100","634","false","","","世界书\境界.txt"
"11","人物详情：青衣","人物与NPC","true","false","true","青衣|绛鳞王|大兄","after_char","4","100","1143","false","","","世界书\人物详情：青衣.txt"
"12","礼仪","叙事与生成协议","true","true","true","","before_char","4","100","463","false","","","世界书\礼仪.txt"
"13","战斗","叙事与生成协议","true","true","false","战斗|出手|攻击|发起|偷袭|决战","before_char","4","100","458","false","","","世界书\战斗.txt"
"14","神识","境界与力量体系","true","true","false","神识","before_char","4","100","196","false","","","世界书\神识.txt"
"15","器物","叙事与生成协议","true","true","false","","before_char","4","100","884","false","","","世界书\器物.txt"
"16","状态栏","叙事与生成协议","false","true","false","","after_char","1","6","4372","false","","","世界书\状态栏.txt"
"17","具体数值","叙事与生成协议","true","true","true","","after_char","3","100","1279","false","","","世界书\具体数值.txt"
"18","灵根","叙事与生成协议","true","true","false","","before_char","4","100","666","false","","","世界书\灵根.yaml"
"19","玄天界灵石体系","叙事与生成协议","false","true","false","","before_char","4","100","2704","false","","","世界书\玄天界灵石体系.yaml"
"20","黑暗森林","叙事与生成协议","true","true","false","","after_char","2","100","1310","false","","","世界书\黑暗森林.txt"
"21","时间","叙事与生成协议","true","true","false","","before_char","4","100","258","false","","","世界书\时间.txt"
"22","合理性审查","叙事与生成协议","true","true","true","","after_char","1","7","2604","false","","","世界书\合理性审查.txt"
"23","玄天界介绍","境界与力量体系","false","true","true","","before_char","4","100","604","false","","","世界书\玄天界介绍.yaml"
"24","玄天界主要势力与组织","势力与组织","false","true","true","","before_char","4","100","1117","false","","","世界书\玄天界主要势力与组织.txt"
"25","玄天界核心规则","叙事与生成协议","false","true","false","","before_char","4","100","478","false","","","世界书\玄天界核心规则.txt"
"26","玄天界周期性秘境","地点与世界结构","false","true","false","","before_char","4","100","229","false","","","世界书\玄天界周期性秘境.txt"
"27","地点详情：中央神州","势力与组织","true","false","true","中央神州|中州","after_char","4","100","1253","false","","","世界书\地点详情：中央神州.yaml"
"28","势力详情：广寒宫","境界与力量体系","true","false","true","广寒宫|北冥雪原","after_char","4","100","348","false","","","世界书\势力详情：广寒宫.yaml"
"29","势力详情：天机阁","境界与力量体系","true","false","true","天机阁|中立情报组织","after_char","4","100","334","false","","","世界书\势力详情：天机阁.yaml"
"30","势力详情：太阳神宫","境界与力量体系","true","false","true","太阳神宫|神主|体修|体修势力|南离火洲|万丈火山之巅","after_char","4","100","360","false","","","世界书\势力详情：太阳神宫.yaml"
"31","势力详情：蜀山剑门","境界与力量体系","true","false","true","蜀山剑门|顶尖宗门|正道魁首|中央神州西部|西部|中央神州|蜀山","after_char","4","100","327","false","","","世界书\势力详情：蜀山剑门.yaml"
"32","势力详情：血神宫","境界与力量体系","true","false","true","血神宫|血宗|不枯血海|南离火洲中央|南离火洲","after_char","4","100","357","false","","","世界书\势力详情：血神宫.yaml"
"33","势力详情：万魂殿","境界与力量体系","true","false","true","万魂殿|南离火洲|阴风山脉","after_char","4","100","315","false","","","世界书\势力详情：万魂殿.yaml"
"34","势力详情：合欢宗","境界与力量体系","true","false","true","合欢宗|百花谷|百花合欢阁|勾栏","after_char","4","100","452","false","","","世界书\势力详情：合欢宗.txt"
"35","势力详情：尸魔宗","境界与力量体系","true","false","true","尸魔宗|南离火洲与北冥雪原的交界|葬仙坡","after_char","4","100","355","false","","","世界书\势力详情：尸魔宗.yaml"
"36","玄天界关键人物","人物与NPC","false","true","true","","before_char","4","100","5024","false","","","世界书\玄天界关键人物.txt"
"37","人物详情：幽悦","人物与NPC","true","false","true","幽悦|尸魔宗宗主","after_char","4","100","561","false","","","世界书\人物详情：幽悦.txt"
"38","人物详情：凌月","人物与NPC","true","false","true","凌月|尸魔宗圣女|继承人|玄阴炼尸诀|太上玄冰凝身诀|先天尸魅之体|本命天尸","after_char","4","100","818","false","","","世界书\人物详情：凌月.txt"
"39","人物详情：阴罗长老","人物与NPC","true","false","true","阴罗|尸魔宗大长老|主管内务|夺魂炼尸|抽取神魂注尸身|炼制魂尸","after_char","4","100","586","false","","","世界书\人物详情：阴罗长老.txt"
"40","人物详情：晚絮长老","人物与NPC","true","false","true","晚絮|尸魔宗执法长老|主管刑罚","after_char","4","100","536","false","","","世界书\人物详情：晚絮长老.txt"
"41","人物详情：瑶汐宫主","人物与NPC","true","false","true","瑶汐宫主|广寒宫之主|瑶汐","after_char","4","100","541","false","","","世界书\人物详情：瑶汐宫主.txt"
"42","人物详情：林雪","人物与NPC","true","false","true","林雪|广寒宫圣女|万年玄冰之态|太阴神体|千年一遇至高体质|天生亲和太阴大道","after_char","4","100","543","false","","","世界书\人物详情：林雪.txt"
"43","人物详情：白薇","人物与NPC","true","false","true","剑主|蜀山剑门掌门|白薇","after_char","4","100","582","false","","","世界书\人物详情：白薇.txt"
"44","人物详情：苏清雪","人物与NPC","true","false","true","苏清雪|蜀山剑门圣女|掌门亲传","after_char","4","100","739","false","","","世界书\人物详情：苏清雪.txt"
"45","人物详情：玄虚掌教","人物与NPC","true","false","true","玄虚掌教|昆仑道门掌教|玄虚","after_char","4","100","559","false","","","世界书\人物详情：玄虚掌教.txt"
