uid,comment,report_category,content_characters,cl100k_tokens
0,NPC人物生成规则,procedural_generation_encounter,868,968
1,秘境/遗迹生成,procedural_generation_encounter,416,546
2,详细人物:林若悠,character_profiles,345,480
3,详细人物：宫银叶,character_profiles,855,1062
4,玄天界宗门生成,procedural_generation_encounter,967,1121
5,仙界关键人物,realm_overview_bundle,1648,2320
6,详细人物:慕欣心,character_profiles,399,569
7,玄天界城市生成,procedural_generation_encounter,1831,1996
8,功法生成,procedural_generation_encounter,904,844
9,机遇,narrative_gameplay_meta_rules,388,456
10,境界,cultivation_world_mechanics,634,652
11,人物详情：青衣,character_profiles,1143,1625
12,礼仪,narrative_gameplay_meta_rules,463,576
13,战斗,narrative_gameplay_meta_rules,458,588
14,神识,cultivation_world_mechanics,196,265
15,器物,item_technique_pet_profiles,884,1118
16,状态栏,mvu_output_protocol,4372,2259
17,具体数值,cultivation_world_mechanics,1279,1393
18,灵根,cultivation_world_mechanics,666,805
19,玄天界灵石体系,realm_overview_bundle,2704,2933
20,黑暗森林,narrative_gameplay_meta_rules,1310,1580
21,时间,narrative_gameplay_meta_rules,258,249
22,合理性审查,narrative_gameplay_meta_rules,2604,2813
23,玄天界介绍,realm_overview_bundle,604,698
24,玄天界主要势力与组织,realm_overview_bundle,1117,1412
25,玄天界核心规则,realm_overview_bundle,478,570
26,玄天界周期性秘境,realm_overview_bundle,229,288
27,地点详情：中央神州,location_secret_realm_profiles,1253,1207
28,势力详情：广寒宫,faction_profiles,348,394
29,势力详情：天机阁,faction_profiles,334,343
30,势力详情：太阳神宫,faction_profiles,360,413
31,势力详情：蜀山剑门,faction_profiles,327,371
32,势力详情：血神宫,faction_profiles,357,415
33,势力详情：万魂殿,faction_profiles,315,371
34,势力详情：合欢宗,faction_profiles,452,526
35,势力详情：尸魔宗,faction_profiles,355,419
36,玄天界关键人物,realm_overview_bundle,5024,6647
37,人物详情：幽悦,character_profiles,561,701
38,人物详情：凌月,character_profiles,818,1096
39,人物详情：阴罗长老,character_profiles,586,811
40,人物详情：晚絮长老,character_profiles,536,716
41,人物详情：瑶汐宫主,character_profiles,541,754
42,人物详情：林雪,character_profiles,543,740
43,人物详情：白薇,character_profiles,582,822
44,人物详情：苏清雪,character_profiles,739,1024
45,人物详情：玄虚掌教,character_profiles,559,729
46,人物详情：陆雪琪,character_profiles,571,780
47,人物详情：紫薇,character_profiles,627,803
48,人物详情：曦和,character_profiles,587,812
49,人物详情：血神·绯月,character_profiles,528,736
50,人物详情：天妤夫人,character_profiles,625,866
51,人物详情：叶清,character_profiles,605,837
52,人物详情：龙傲飞,character_profiles,486,663
53,人物详情：苏沐雪,character_profiles,558,795
54,人物详情：叶冰,character_profiles,509,688
55,人物详情：炎帝,character_profiles,621,865
56,人物详情：秦心,character_profiles,653,933
57,人物详情：红绡,character_profiles,625,833
58,人物详情：苏琉璃,character_profiles,673,943
59,人物详情：秦无夜,character_profiles,667,940
60,人物详情：云舒窈,character_profiles,693,871
61,人物详情：大衍长老,character_profiles,457,544
62,人物详情：烈阳长老,character_profiles,592,821
63,人物详情：构军,character_profiles,604,806
64,人物详情：林欣,character_profiles,588,747
65,人物详情：慧空,character_profiles,576,784
66,人物详情：般若,character_profiles,665,892
67,仙界天骄大比,realm_overview_bundle,378,375
68,人物详情：韩月灵,character_profiles,637,849
69,人物详情：林妙音,character_profiles,585,789
70,人物详情：广慧,character_profiles,545,765
71,人物详情：幽梦,character_profiles,584,828
72,人物详情：噬魂长老,character_profiles,542,794
73,遁术,item_technique_pet_profiles,732,989
74,突破丹药,item_technique_pet_profiles,1732,1809
75,识海、神魂、精血,cultivation_world_mechanics,279,389
76,玄天界前期保护机制,realm_overview_bundle,212,192
77,势力详情：大周仙朝,faction_profiles,394,461
78,势力详情：南梁古国,faction_profiles,643,822
79,心魔劫,narrative_gameplay_meta_rules,409,554
80,人物详细：冰凤,character_profiles,583,788
81,人物详细：姬紫月,character_profiles,583,795
82,人物详细：苏媚,character_profiles,592,819
83,人物详细：萧婉儿,character_profiles,590,800
84,人物详细：姬昊天,character_profiles,566,740
85,人物详细：李牧,character_profiles,561,787
86,人物详细：萧衍 (梁王),character_profiles,902,1111
87,妖兽化形取名,procedural_generation_encounter,736,1002
88,人物详情：青练,character_profiles,823,1184
89,地点：东极青木域,location_secret_realm_profiles,990,1026
90,妖族势力：九尾天狐族,faction_profiles,374,461
91,妖族势力：神猿族,faction_profiles,339,391
92,妖族势力：蛟龙一族,faction_profiles,354,416
93,-内容控制开关-玄天界 (二选一),ejs_realm_router,373,211
94,妖族人物：敖凌霜,character_profiles,769,1104
95,妖族人物：袁琪,character_profiles,784,1092
96,妖族势力：孔灵月,character_profiles,782,1038
97,妖族人物：蛛心儿,character_profiles,769,1118
98,炼气期,cultivation_world_mechanics,317,420
99,筑基期,cultivation_world_mechanics,361,447
100,金丹期,cultivation_world_mechanics,377,469
101,元婴期,cultivation_world_mechanics,412,523
102,化神期,cultivation_world_mechanics,550,728
103,炼虚期,cultivation_world_mechanics,685,924
104,合体期,cultivation_world_mechanics,679,905
105,大乘期,cultivation_world_mechanics,871,1135
106,苏千媚,character_profiles,806,1105
107,渡劫期,cultivation_world_mechanics,104,138
108,雷劫,cultivation_world_mechanics,225,274
109,恋爱,narrative_gameplay_meta_rules,1093,1310
110,回忆,narrative_gameplay_meta_rules,649,748
111,灵压,cultivation_world_mechanics,308,407
112,死亡,narrative_gameplay_meta_rules,451,587
113,人物详情：江楚楚,character_profiles,839,1183
114,地点详情：南离火洲,location_secret_realm_profiles,1003,1059
115,地点详情：北冥雪原,location_secret_realm_profiles,852,919
116,人物详情:苏灿灿,character_profiles,1019,1335
117,人物详情:苏辰,character_profiles,1098,1351
118,详情人物:慕清弦,character_profiles,878,1194
119,详情人物:温月清,character_profiles,1012,1376
120,详情人物:温小暖,character_profiles,998,1294
121,困难模式,narrative_gameplay_meta_rules,1088,1251
122,DC点数判定,narrative_gameplay_meta_rules,1227,1295
123,真仙境,cultivation_world_mechanics,628,838
124,金仙境,cultivation_world_mechanics,573,754
125,玄仙境,cultivation_world_mechanics,593,773
126,仙帝境,cultivation_world_mechanics,593,785
127,超脱境,cultivation_world_mechanics,498,620
128,仙界介绍,realm_overview_bundle,855,1108
129,仙界核心区域,realm_overview_bundle,278,357
130,仙界地点详情：钧天仙域,location_secret_realm_profiles,453,545
131,仙界地点详情：青华仙域,location_secret_realm_profiles,452,537
132,仙界地点详情：炎极仙域,location_secret_realm_profiles,419,515
133,仙界地点详情：太白仙域,location_secret_realm_profiles,435,538
134,仙界地点详情：玄冥仙域,location_secret_realm_profiles,414,519
135,仙界人物详情：玖柒,character_profiles,490,672
136,仙界势力详情：云上瑶池,faction_profiles,480,555
137,仙界特殊区域,realm_overview_bundle,205,187
138,仙界飞升,realm_overview_bundle,1092,1215
139,详细人物:韩立,character_profiles,865,1151
140,详细人物:南宫婉,character_profiles,597,763
141,详细人物:银月,character_profiles,710,958
142,详细物品:小绿瓶,item_technique_pet_profiles,609,768
143,详细物品:青竹蜂云剑,item_technique_pet_profiles,267,349
144,详细:噬金虫群设定,item_technique_pet_profiles,223,309
145,详细物品:风雷翅,item_technique_pet_profiles,199,252
146,详细灵宠:啼魂兽,item_technique_pet_profiles,222,309
147,详细物品:虚天鼎,item_technique_pet_profiles,228,284
148,详细物品:辟邪神雷,item_technique_pet_profiles,207,287
149,详细人物:石昊,character_profiles,679,906
150,详细人物:白小纯,character_profiles,483,702
151,详细人物:候小妹,character_profiles,304,426
152,详细人物:古月方源,character_profiles,438,651
153,详细人物:宋文,character_profiles,609,892
154,详细人物:商心慈,character_profiles,350,469
155,-内容控制开关-仙界 (二选一),ejs_realm_router,247,137
156,详细:血海地印,item_technique_pet_profiles,407,580
157,详细:尸王转生决,item_technique_pet_profiles,220,295
158,详细:九大天雷秘术,item_technique_pet_profiles,171,226
159,详细:万毒混元身,item_technique_pet_profiles,186,239
160,详细:疑神刺,item_technique_pet_profiles,162,212
161,详细:血遁术,item_technique_pet_profiles,127,174
162,详细:替死傀儡术,item_technique_pet_profiles,149,201
